"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Den Ham";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Haps";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Hardenberg";61357
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Harderwijk";48726
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Hardinxveld-Giessendam";18413
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Haren";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Harenkarspel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Harlingen";15807
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Harmelen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Hasselt";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Hattem";12228
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Havelte";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Hazerswoude";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Hedel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Heel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Heel en Panheel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Heemskerk";39191
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Heemstede";27545
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Heerde";18776
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Heerenveen";50650
